Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Killa Hotel,North Indian,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Maharashtrian",600, Wagholi,3.9
Baskin Robbins,Ice Cream,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts, Beverages",300,Pimple Saudagar,3.9
Medhekar Misal,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,150, Kothrud,3.9
Kokani Tadaka,Seafood,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Seafood, North Indian",400, Sadashiv Peth,3.9
Annapurna Pure Veg,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",450, Kothrud,3.9
Thali & Co.,North Indian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Goan",700,Sinhgad Road,3.9
Lean Life Bistro,Fast Food,North Indian,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, North Indian, Desserts, Beverages",500, Kothrud,3.9
Moshing Cuppa,Coffee and Tea,Sandwich,Fast Food,Beverages,Desserts,MISSING,MISSING,MISSING,"Cafe, Sandwich, Fast Food, Beverages, Desserts",450,Hinjawadi,3.9
Vinu's Special Panipuri & Matki Bhel,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,100, Nigdi,3.9
Shilpa's Homely Food,North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Seafood",500, Lonavala,3.9
Interval Bhel House,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,100, Rasta Peth,3.9
Jhulelal Ice Creams & Sweets,Ice Cream,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts",250, Pimpri,3.9
Hotel Vrindavan,South Indian,North Indian,East Asian,Fast Food,Beverages,MISSING,MISSING,MISSING,"South Indian, North Indian, Chinese, Fast Food, Beverages",600, Nigdi,3.9
Koffee Villa,Coffee and Tea,European,Fast Food,Oriental,Beverages,MISSING,MISSING,MISSING,"Cafe, Italian, Fast Food, Chinese, Beverages",650, Bibvewadi,3.9
Sodhi Naan House,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300, Kondhawa,3.9
Cric Cafe,Coffee and Tea,Fast Food,East Asian,South Indian,Beverages,Desserts,MISSING,MISSING,"Cafe, Fast Food, Chinese, South Indian, Beverages, Desserts",500, Narhe,3.9
Manisha Bhel Panipuri Snacks Centre,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,150, Karve Nagar,3.9
The Classroom Cafe,East Asian,Pizza,Burger,Fast Food,MISSING,MISSING,MISSING,MISSING,"Chinese, Pizza, Burger, Fast Food",300, Bavdhan,3.9
Chai Tapri,Street Food,Coffee and Tea,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Tea",400, Baner,3.9
Reddy's Restaurant,North Indian,Indian (other),Kebab,Indian (other),East Asian,North Indian,MISSING,MISSING,"North Indian, Biryani, Kebab, Mughlai, Chinese, Maharashtrian",400, Balewadi,3.9
Vijay Snacks,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,South Indian,150, Pimple Nilakh,3.9
Ohanna's,North Indian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Gujarati, Street Food",200, Bibvewadi,3.9
Hotel Maharaja,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",300,Hinjawadi,3.9
What' A Sandwich!,Sandwich,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Fast Food",400,Magarpatta,3.9
O Bhaiya,Street Food,North Indian,Ice Cream,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, North Indian, Ice Cream",300,FC Road,3.9
VS Pooriwala,North Indian,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food, Beverages",300, Baner,3.9
Smriti's Hinglish Cafe,Fast Food,South Indian,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, South Indian, Beverages",400,FC Road,3.9
Chill Out,Fast Food,Street Food,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, Desserts, Beverages",250, Katraj,3.9
N'tice,North Indian,South Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Mughlai",500,Pimple Saudagar,3.9
Rhythm's Addict Cafe & Kitchen,Fast Food,Sandwich,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Sandwich, Beverages",300, Kothrud,3.9
Shree Krishna Juice Bar,Juices,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Juices, Beverages",150, JM Road,3.9
Jashn E Punjab,North Indian,East Asian,Indian (other),Indian (other),Desserts,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Biryani, Desserts",400, Lohegaon,3.9
Cafe Detour,Coffee and Tea,European,Fast Food,Desserts,Rajasthani,MISSING,MISSING,MISSING,"Cafe, Continental, Fast Food, Desserts, North Indian",400, Bavdhan,3.9
M & K Fast Food Hub,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fast Food,200, Dhankawadi,3.9
Hotel Vaishnavi,North Indian,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Maharashtrian",500, Bhosari,3.9
The Seafood Factory,Indian (other),North Indian,North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,"Biryani, Malwani, Maharashtrian, Seafood",300, Wakad,3.9
Sri Durga Hotel,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",500, Chandan Nagar,3.9
Tahini Mediterranean,Middle Eastern,Kebab,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,"Lebanese, Kebab, Biryani, Mughlai",350, Hadapsar,3.9
Baker's Wave,Bakery,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bakery,300, Ravet,3.9
Shahu Misal,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,150, Kothrud,3.9
Maval Machi,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Malwani",500,Old Mumbai-Pune Highway,3.9
Pune Egg Cafe,Fast Food,North Indian,Rolls,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, North Indian, Rolls",300, Senapati Bapat Road,3.9
Oyeee Desi !,North Indian,Fast Food,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Chinese",550, Baner,3.9
16 Icy Rolls,Ice Cream,Beverages,Sandwich,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Beverages, Sandwich",300, Erandwane,3.9
Vyankis Eating Co,Indian (other),North Indian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, North Indian, Fast Food",400, Baner,3.9
Food Street,Coffee and Tea,Fast Food,Indian (other),Ice Cream,Desserts,MISSING,MISSING,MISSING,"Cafe, Fast Food, Pizza, Ice Cream, Desserts",500,Magarpatta,3.9
Laziz Pizza,Pizza,Rolls,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Pizza, Rolls, Fast Food, Beverages",700, Wakad,3.9
Fantasy Juice Bar & Snacks,Beverages,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Beverages, Fast Food",250,Bund Garden Road,3.9
Kraks N Bruns,Bakery,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bakery,300, Dhankawadi,3.9
Masala World,North Indian,Middle Eastern,East Asian,Ice Cream,Burger,Beverages,MISSING,MISSING,"North Indian, Maharashtrian, Chinese, Ice Cream, Burger, Beverages",450, Kharadi,3.9
Something Fishy,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",350, Wadgaon Sheri,3.9
Burger Story,Burger,Fast Food,Beverages,Street Food,MISSING,MISSING,MISSING,MISSING,"Burger, Fast Food, Beverages, Street Food",400, Wakad,3.9
Cafe Sai Pure Veg,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300, Yerawada,3.9
Wafflez,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Beverages",300, Bavdhan,3.9
Big Burger,Fast Food,Burger,Rolls,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Burger, Rolls, Beverages",300, Kharadi,3.9
Thanco's Natural Ice Cream,Ice Cream,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Desserts, Beverages",400,NIBM Road,3.9
Nutri Toss,Healthy Food,Healthy Food,BBQ,MISSING,MISSING,MISSING,MISSING,MISSING,"Salad, Healthy Food, BBQ",400, Erandwane,3.9
DELIGO,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",700,Kalyani Nagar,3.9
Sponge N Creams,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",300,Hinjawadi,3.9
Siddy's Corner,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,150, Satara Road,3.9
Cafe Farmaish,Fast Food,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, North Indian",350,NIBM Road,3.9
The Wadapav Cafe,Street Food,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food, Beverages",350, Erandwane,3.9
Eatalio’s,European,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Italian, Fast Food, Beverages",650, Bibvewadi,3.9
Maska Pav,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",200, Akurdi,3.9
Special Parathas & More,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian",200, Hadapsar,3.9
Shree Bhel,Sandwich,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Sandwich,150, Warje,3.9
Siya's Kitchen,Fast Food,East Asian,Rolls,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Chinese, Rolls",400, Bavdhan,3.9
Amul Ice Cream Parlor,Desserts,Ice Cream,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Ice Cream",200, Viman Nagar,3.9
Icon Tower Canteen,Fast Food,South Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, South Indian, Maharashtrian",300, Baner,3.9
Hotel Gavathi,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,350, Bhugaon,3.9
KC's Food Logic,Coffee and Tea,Burger,Indian (other),Rolls,Fast Food,MISSING,MISSING,MISSING,"Cafe, Burger, Pizza, Rolls, Fast Food",550, Wanowrie,3.9
Hotel Sunrup,North Indian,North Indian,East Asian,Indian (other),Indian (other),Fast Food,Beverages,MISSING,"Maharashtrian, North Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages",450, Wakad,3.9
Mayur Refreshments,Ice Cream,Street Food,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Ice Cream, Street Food, Fast Food, Beverages",200, Wadgaon Sheri,3.9
The Puneri Fries,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages",300, Pimple Gurav,3.9
Shree Sai Pure Veg,South Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, North Indian",300, Ravet,3.9
Tea Splash,Beverages,Fast Food,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Beverages, Fast Food, Street Food",200, Sadashiv Peth,3.9
Foodibaba Chinese,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,200, Karve Nagar,3.9
Samrajya Misal,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,200,Sinhgad Road,3.9
Ambarsariya Dhaba,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,550, Balewadi,3.9
Girme Wadewale,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,100, Mundhwa,3.9
Sanvi Sandwich,Sandwich,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Fast Food, Beverages",300, Viman Nagar,3.9
Unico Foods,North Indian,Fast Food,Beverages,Sandwich,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Beverages, Sandwich",500, Pimple Nilakh,3.9
Fit & Fat Bistro,Street Food,Fast Food,Beverages,Sandwich,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food, Beverages, Sandwich",400, Aundh,3.9
Apni Indian Rasoi,Rolls,Street Food,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Street Food, North Indian",350, Sadashiv Peth,3.9
Lucknawi Caterers And Hotel,Indian (other),North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, North Indian",350, Viman Nagar,3.9
Happy Breaks,East Asian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Fast Food, Beverages",300, Kothrud,3.9
Urbano Pizzas,Pizza,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Pizza,600, Akurdi,3.9
Swirlsation Ice Cream Café,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Beverages",350, Akurdi,3.9
Punyai Chinese,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,200, Bibvewadi,3.9
Thakkar Dining Hall,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,400, Chinchwad,3.9
Feel The Meal,Fast Food,North Indian,Beverages,Sandwich,Juices,MISSING,MISSING,MISSING,"Fast Food, North Indian, Beverages, Sandwich, Juices",250,Pimple Saudagar,3.9
Deccan Darbar,South Indian,East Asian,North Indian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,"Kerala, Chinese, North Indian, Arabian",500, Kondhawa,3.9
Mankar Dosa,South Indian,Street Food,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Street Food, North Indian",250, Satara Road,3.9
Arya Coffee Shop,Sandwich,Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Pizza, Fast Food",350, Wanowrie,3.9
Bedi's Naan House,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300, Dhankawadi,3.9
Hotel Al Zaika,North Indian,East Asian,Indian (other),Indian (other),Rajasthani,MISSING,MISSING,MISSING,"North Indian, Chinese, Biryani, Mughlai, Maharashtrian",500, Karve Nagar,3.9
Sharma Ice Cream and Pav Bhaji,Fast Food,Ice Cream,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Ice Cream, Beverages",200, Nigdi,3.9
New Apurwai Non Veg,North Indian,Indian (other),Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Biryani, Seafood",400, Sadashiv Peth,3.9
Ashapuri Dining Hall,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Rajasthani, North Indian",450, Aundh,3.9
Masala Kitchen,North Indian,Middle Eastern,East Asian,Ice Cream,Desserts,Beverages,Burger,Rolls,"North Indian, Maharashtrian, Chinese, Ice Cream, Desserts, Beverages, Burger, Rolls",300, Kharadi,3.9
Dashami Express,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,100, Akurdi,3.9
Rasika Pure Veg,North Indian,South Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Chinese",400, Viman Nagar,3.9
Dilkhush Chinese Fast Food,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Chinese,200, Camp Area,3.9
Eskobar,North Indian,European,European,Asian,Desserts,Bar Food,MISSING,MISSING,"North Indian, Italian, Continental, Asian, Desserts, Bar Food",1600, Baner,3.8
Ginkgo,East Asian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Sushi, Japanese",800, Kothrud,3.8
Slay City,North Indian,Rolls,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Rolls, Pizza",700, Viman Nagar,3.8
Kalyani Veg,North Indian,South Indian,Fast Food,Oriental,Ice Cream,Beverages,Sandwich,Street Food,"North Indian, South Indian, Fast Food, Chinese, Ice Cream, Beverages, Sandwich, Street Food",500,Kalyani Nagar,3.8
Taco Bell,The Americas,Fast Food,Wraps,Beverages,MISSING,MISSING,MISSING,MISSING,"Mexican, Fast Food, Wraps, Beverages",550,Magarpatta,3.8
Terrasinne,Sandwich,North Indian,Indian (other),Fast Food,Desserts,Beverages,MISSING,MISSING,"Sandwich, North Indian, Pizza, Fast Food, Desserts, Beverages",600,FC Road,3.8
Origins,Asian (unspecified),East Asian,East Asian,Southeast Asian,Southeast Asian,Southeast Asian,Korean,MISSING,"Asian, Sushi, Japanese, Thai, Indonesian, Vietnamese, Korean",1600, Kothrud,3.8
The Mafia,North Indian,Fast Food,East Asian,European,Indian (other),MISSING,MISSING,MISSING,"North Indian, Fast Food, Chinese, Italian, Mughlai",1500, Viman Nagar,3.8
daCALORIES,Healthy Food,Healthy Food,Sandwich,Beverages,European,Wraps,European,MISSING,"Healthy Food, Salad, Sandwich, Beverages, Italian, Wraps, Continental",400, Nigdi,3.8
Wasabi 15,Asian (unspecified),East Asian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Asian, Korean, Japanese",500, Viman Nagar,3.8
The Royal's Multicuisine Restaurant,North Indian,East Asian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Seafood, Mughlai",800, Dhanori,3.8
Eagle Boys Pizzeria & Cafe,Pizza,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Fast Food",500, Pimpri,3.8
Mountain High,North Indian,East Asian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Seafood",1200, Wanowrie,3.8
Eighty Eight - Hyatt Pune,European,North Indian,European,Healthy Food,Fast Food,Desserts,MISSING,MISSING,"Continental, North Indian, Italian, Healthy Food, Fast Food, Desserts",2600,Nagar Road,3.8
One Restaurant And Bar,East Asian,European,Fast Food,North Indian,East Asian,MISSING,MISSING,MISSING,"Chinese, Continental, Fast Food, North Indian, Pizza",1000, Mundhwa,3.8
The Secret Garden,North Indian,European,European,Oriental,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental, Italian, Chinese",1400, Mundhwa,3.8
Prasanna Pure Veg,South Indian,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, North Indian, Chinese",450, Pashan,3.8
Shrimant Misal,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,200, Aundh,3.8
Mauji,Sandwich,Beverages,Fast Food,Healthy Food,Indian (other),MISSING,MISSING,MISSING,"Sandwich, Beverages, Fast Food, Salad, Pasta",500, Pune University,3.8
Pind Punjab,North Indian,Kebab,East Asian,Indian (other),Desserts,MISSING,MISSING,MISSING,"North Indian, Kebab, Chinese, Mughlai, Desserts",800,Hinjawadi,3.8
Witcher's Den,Coffee and Tea,European,North Indian,Desserts,Fast Food,Beverages,MISSING,MISSING,"Cafe, Continental, North Indian, Desserts, Fast Food, Beverages",500, Koregaon Park,3.8
Monk's & Blue's,North Indian,Middle Eastern,Steak,European,Desserts,MISSING,MISSING,MISSING,"North Indian, Maharashtrian, Steak, Continental, Desserts",1300, Baner,3.8
Angaar,North Indian,Indian (other),East Asian,Fast Food,Indian (other),MISSING,MISSING,MISSING,"North Indian, Mughlai, Chinese, Fast Food, Biryani",500, Bavdhan,3.8
3 Spices - DoubleTree By Hilton Hotel,North Indian,Asian (unspecified),European,Oriental,Rajasthani,MISSING,MISSING,MISSING,"North Indian, Asian, Italian, Chinese, Maharashtrian",1500, Chinchwad,3.8
The Real Pune,North Indian,North Indian,European,Southeast Asian,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Italian, Thai",1200,FC Road,3.8
Meghdoot's,North Indian,East Asian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food, Beverages",800, Kondhawa,3.8
RollEatUp Cafe,Rolls,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, North Indian",300, Wakad,3.8
Jimmy's,North Indian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Beverages",500, Koregaon Park,3.8
Multi Spice,North Indian,East Asian,European,South Indian,The Americas,MISSING,MISSING,MISSING,"North Indian, Chinese, Continental, South Indian, Mexican",700, Karve Nagar,3.8
Chef's Nation,Fast Food,Sandwich,European,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, Sandwich, Momos, Beverages",500, Kharadi,3.8
Talli Master Resto & Lounge Bar,North Indian,East Asian,Indian (other),European,Indian (other),Indian (other),MISSING,MISSING,"North Indian, Chinese, Pizza, Continental, Pasta, Biryani",1200, Wakad,3.8
Tatyancha Dhaba,North Indian,East Asian,North Indian,Indian (other),Kebab,Indian (other),MISSING,MISSING,"North Indian, Chinese, Maharashtrian, Mughlai, Kebab, Biryani",650, Baner,3.8
Marmalade,European,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Italian, Desserts, Beverages",2000, Aundh,3.8
Qwik O'Byts,Wraps,East Asian,Indian (other),Rolls,Fast Food,Sandwich,MISSING,MISSING,"Wraps, Chinese, Biryani, Rolls, Fast Food, Sandwich",300, Baner,3.8
Hashtag Happy Foods,Healthy Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Healthy Food, Beverages",500, Kothrud,3.8
Green Field Resto Bar,North Indian,East Asian,Indian (other),Seafood,Desserts,Beverages,Healthy Food,North Indian,"North Indian, Chinese, Mughlai, Seafood, Desserts, Beverages, Salad, Maharashtrian",1000,Sinhgad Road,3.8
Bangalore Iyengar's Bakery,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",100, Kothrud,3.8
Cafe Al Forno,Coffee and Tea,Pizza,Fast Food,Finger Food,Desserts,Beverages,MISSING,MISSING,"Cafe, Pizza, Fast Food, Finger Food, Desserts, Beverages",600, Senapati Bapat Road,3.8
Panchavati Gaurav,North Indian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Gujarati, Rajasthani, North Indian",500, Baner,3.8
Caffe & Te - All Day Cafe,Coffee and Tea,Pizza,Fast Food,Desserts,Beverages,MISSING,MISSING,MISSING,"Cafe, Pizza, Fast Food, Desserts, Beverages",600, Wagholi,3.8
Kwality Family Resto Bar,North Indian,Indian (other),East Asian,South Indian,Beverages,MISSING,MISSING,MISSING,"North Indian, Mughlai, Chinese, South Indian, Beverages",1100, Erandwane,3.8
Farmers Kitchen,North Indian,East Asian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food, Beverages",550, Bhosari,3.8
Carmine  Radisson Blu Hotel,North Indian,European,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental, Mughlai",2000, Kharadi,3.8
Char Bar,North Indian,East Asian,Fast Food,Pizza,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food, Pizza",1400, Wakad,3.8
Ranjai,North Indian,Indian (other),Ice Cream,Beverages,Rajasthani,MISSING,MISSING,MISSING,"North Indian, Mughlai, Ice Cream, Beverages, Maharashtrian",1500,Hinjawadi,3.8
The Hungry Hobo Cafe,Coffee and Tea,Sandwich,European,Fast Food,Healthy Food,Beverages,MISSING,MISSING,"Cafe, Sandwich, Italian, Fast Food, Salad, Beverages",550, Aundh,3.8
Chawadi Restaurant,North Indian,East Asian,North Indian,South Indian,Kebab,Beverages,MISSING,MISSING,"North Indian, Chinese, Malwani, Mangalorean, Kebab, Beverages",700, Chinchwad,3.8
The Burger House,Burger,Sandwich,Quick eats,Fast Food,Healthy Food,Beverages,MISSING,MISSING,"Burger, Sandwich, Hot dogs, Fast Food, Salad, Beverages",400, Koregaon Park,3.8
Amritsari,North Indian,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food",400, Wakad,3.8
#TFT,Pizza,Sandwich,Burger,Fast Food,Beverages,MISSING,MISSING,MISSING,"Pizza, Sandwich, Burger, Fast Food, Beverages",350, Dhankawadi,3.8
Hotel Sangrilla,East Asian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Maharashtrian",750, Nigdi,3.8
Aamaya Multi Cuisine,East Asian,North Indian,Fast Food,Beverages,Desserts,MISSING,MISSING,MISSING,"Chinese, North Indian, Fast Food, Beverages, Desserts",800,FC Road,3.8
Waghere Yancha Ranmala,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,700, Chinchwad,3.8
The Beer Cafe,Quick eats,North Indian,European,European,MISSING,MISSING,MISSING,MISSING,"Finger Food, North Indian, Italian, Continental",1500, Senapati Bapat Road,3.8
Sapna Pav Bhaji,Street Food,Middle Eastern,East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,"Street Food, Maharashtrian, Chinese, Beverages",400, Kondhawa,3.8
Haryana Handi,North Indian,Street Food,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food, Maharashtrian",400, Wadgaon Sheri,3.8
Mansoor Wadapav & Snack Centre,North Indian,Fast Food,Indian (other),Rolls,East Asian,MISSING,MISSING,MISSING,"Maharashtrian, Fast Food, Biryani, Rolls, Chinese",300, Narhe,3.8
Kava -  Fairfield by Marriott Pune,North Indian,East Asian,South Indian,North Indian,European,MISSING,MISSING,MISSING,"North Indian, Chinese, South Indian, Maharashtrian, Continental",1500, Kharadi,3.8
Punnamada Kerala Kitchen,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Kerala,450, Expressway,3.8
The Old Mansion,North Indian,Fast Food,Asian (unspecified),European,Beverages,MISSING,MISSING,MISSING,"North Indian, Fast Food, Asian, Italian, Beverages",1600, Baner,3.8
Kaafe,Fast Food,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Street Food, Beverages",250, Hadapsar,3.8
The Bowl Shack,North Indian,Asian (unspecified),Healthy Food,European,Beverages,North Indian,Desserts,MISSING,"North Indian, Asian, Healthy Food, Continental, Beverages, Bengali, Desserts",1000, Koregaon Park,3.8
Rastaman Soul Food,Burger,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Burger, Fast Food",500, Baner,3.8
Breaking Bread Pune - Mehta Foods,Sandwich,Pizza,Beverages,Indian (other),Fast Food,MISSING,MISSING,MISSING,"Sandwich, Pizza, Beverages, Pasta, Fast Food",350, Shukrawar Peth,3.8
