Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Hotel Gokul,North Indian,South Indian,Fast Food,Street Food,East Asian,Beverages,MISSING,MISSING,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages",600, Bhosari,3.7
Shiv Sai,East Asian,North Indian,Fast Food,South Indian,Street Food,MISSING,MISSING,MISSING,"Chinese, North Indian, Fast Food, South Indian, Street Food",400, Kharadi,3.7
Sheetal Arch Restaurant,North Indian,South Indian,East Asian,Street Food,MISSING,MISSING,MISSING,MISSING,"North Indian, South Indian, Chinese, Street Food",800, East Street,3.7
Annapurna Pure Veg,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,North Indian,300, Wakad,3.7
Angoor Family Restaurant,North Indian,East Asian,Kebab,North Indian,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Kebab, Malwani",700, Hadapsar,3.7
90 Degree Resto & Lounge,East Asian,European,North Indian,European,Desserts,Other Indian,MISSING,MISSING,"Chinese, Continental, North Indian, Italian, Desserts, Pizza",850, Bhugaon,3.7
Picante Pure Veg,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",600,Sinhgad Road,3.7
"Orgee Cafe, Bar And Kitchen",European,European,European,Desserts,Beverages,MISSING,MISSING,MISSING,"European, Italian, Continental, Desserts, Beverages",1200,Kalyani Nagar,3.7
Chilli Garlic,North Indian,East Asian,Indian (other),Fast Food,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Fast Food",700, Baner,3.7
Millhouse Coast,European,European,European,MISSING,MISSING,MISSING,MISSING,MISSING,"European, Continental, Italian",900, Senapati Bapat Road,3.7
Shaan-E-Punjaab,North Indian,European,East Asian,Indian (other),Fast Food,MISSING,MISSING,MISSING,"North Indian, Italian, Chinese, Biryani, Fast Food",700, Undri,3.7
Il Fungo Magico,European,The Americas,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Italian, Mexican",1100, Viman Nagar,3.7
Urus Restaurant,North Indian,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Mughlai",600, Shivapur,3.7
Kesariyo - Thal,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Rajasthani,600, Nigdi,3.7
Gokool,Fast Food,North Indian,East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,"Fast Food, North Indian, Chinese, Beverages",600, Camp Area,3.7
Tiranga Residency,North Indian,East Asian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Seafood, Biryani",1000, Budhwar Peth,3.7
Crazy Chef Lounge Bar,Quick eats,North Indian,East Asian,North Indian,MISSING,MISSING,MISSING,MISSING,"Finger Food, North Indian, Chinese, Malwani",1600, Kharadi,3.7
Hunger House,North Indian,East Asian,European,The Americas,European,Desserts,Beverages,MISSING,"North Indian, Chinese, Italian, Mexican, Continental, Desserts, Beverages",550,NIBM Road,3.7
Spine Woods,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",500, Bhosari,3.7
Sher - A - Punjab Family Restaurant,North Indian,East Asian,European,Kebab,Indian (other),Seafood,Fast Food,Beverages,"North Indian, Chinese, Continental, Kebab, Biryani, Seafood, Fast Food, Beverages",1000, Viman Nagar,3.7
The Dugout Lounge,East Asian,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Maharashtrian",1000, Khadakwasla,3.7
The Terrace Bistro,European,European,North Indian,Seafood,Indian (other),Desserts,MISSING,MISSING,"Italian, Continental, North Indian, Seafood, Mughlai, Desserts",1200,Dhole Patil Road,3.7
Hotel Ashray,North Indian,East Asian,North Indian,European,Kebab,MISSING,MISSING,MISSING,"North Indian, Chinese, Maharashtrian, Continental, Kebab",1000,Swargate,3.7
Dubai Cafeteria,North Indian,Fast Food,Middle Eastern,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Lebanese, Beverages",900, Balewadi,3.7
Hira's Rooftop Family Restaurant,East Asian,North Indian,North Indian,Indian (other),MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Maharashtrian, Biryani",600, Camp Area,3.7
Rounak,North Indian,East Asian,Kebab,Fast Food,Indian (other),MISSING,MISSING,MISSING,"North Indian, Chinese, Kebab, Fast Food, Biryani",800, Pimpri,3.7
Ruchi Snacks Centre,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Beverages",250, Karve Nagar,3.7
Ganesh Bhel,Street Food,Sandwich,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Sandwich, Fast Food",200, Kothrud,3.7
Krishna Veg,North Indian,South Indian,East Asian,Fast Food,Indian (other),Beverages,MISSING,MISSING,"North Indian, South Indian, Chinese, Fast Food, Mughlai, Beverages",800, Nigdi,3.7
Zak n Zee,North Indian,East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Beverages",800, MG Road,3.7
Mughlai Matka,Indian (other),North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Mughlai, North Indian, Chinese",750,NIBM Road,3.7
Malvan Curry Family Restaurants,North Indian,East Asian,Indian (other),Kebab,Rajasthani,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Kebab, Malwani",500,Hinjawadi,3.7
